ID,DayofMonth,Weekday,Month,Social_Network_Ref_links,Online_Ad_Paid_ref_links,Clicks_From_Serach_Engine,Special_Discount,Holiday,Server_Down_time_Sec,Web_UI_Score,Sales
1,1,2,1,1243,1704,1255,0,0,28,83,23291
2,2,3,1,765,1827,1260,0,0,9,87,25523
3,3,4,1,500,2200,1830,0,0,2,81,25620
4,4,5,1,373,1562,1336,0,0,11,77,19625
5,5,6,1,343,1810,1465,0,0,2,73,27231
6,6,7,1,1106,1260,913,0,0,0,81,28506
7,7,1,1,375,2025,1673,0,0,4,67,22899
8,8,2,1,1263,1527,963,1,0,0,68,33300
9,9,3,1,498,2202,1827,0,0,18,88,24770
10,10,4,1,555,1477,969,0,0,5,99,22390
11,11,5,1,680,2442,2197,1,0,7,74,31584
12,12,6,1,437,1438,1312,0,0,0,64,25746
13,13,7,1,681,1172,843,0,0,0,66,24109
14,14,1,1,554,1729,1615,0,0,2,66,22558
15,15,2,1,782,2648,2466,1,0,3,66,36961
16,16,3,1,1298,1768,1267,1,0,8,91,33781
17,17,4,1,429,1597,1196,0,0,0,66,21810
18,18,5,1,1088,1323,1222,0,0,8,96,23730
19,19,6,1,996,2543,2245,0,0,3,85,37050
20,20,7,1,1210,2004,1752,0,0,0,82,33212
21,21,1,1,1163,2543,2199,1,0,30,72,31200
22,22,2,1,975,1265,1073,0,0,0,72,23826
23,23,3,1,345,2159,1885,0,0,23,89,22632
24,24,4,1,942,1664,1229,0,0,30,80,21556
25,25,5,1,559,1447,997,0,0,3,76,23548
26,26,6,1,702,2193,1889,0,0,25,89,29320
27,27,7,1,547,1744,1183,0,0,0,71,31194
28,28,1,1,687,2203,1660,0,0,9,65,27144
29,29,2,1,722,1562,1106,0,0,0,72,24447
30,30,3,1,1150,1953,1606,0,0,0,68,30015
31,31,4,1,715,1189,595,0,0,24,65,20371
32,1,5,2,1256,1178,849,0,0,0,99,26006
33,2,6,2,1100,1654,1122,0,0,23,91,27683
34,3,7,2,398,2441,2193,0,0,8,63,31440
35,4,1,2,1364,1897,1475,0,0,20,91,27410
36,5,2,2,1384,1416,871,0,0,0,67,26510
